0,1,386.29,233.38,129.94,292.69,0.91,-1,-1,-1
0,2,160.30,228.52,188.64,470.14,0.88,-1,-1,-1
0,3,923.29,214.66,251.00,579.81,0.88,-1,-1,-1
0,4,540.62,269.25,118.63,249.76,0.87,-1,-1,-1
0,5,308.87,341.61,99.43,229.23,0.86,-1,-1,-1
0,6,540.40,171.46,42.52,112.30,0.85,-1,-1,-1
0,7,652.13,266.43,111.54,235.95,0.82,-1,-1,-1
0,8,754.58,246.93,107.16,266.18,0.82,-1,-1,-1
0,9,136.95,193.46,126.85,324.87,0.80,-1,-1,-1
0,10,586.52,209.07,102.09,253.25,0.79,-1,-1,-1
0,11,690.33,159.57,68.70,206.05,0.74,-1,-1,-1
0,12,572.04,149.66,44.44,137.76,0.74,-1,-1,-1
0,13,296.96,174.94,56.37,144.10,0.73,-1,-1,-1
0,14,255.04,216.38,106.80,299.13,0.68,-1,-1,-1
0,15,599.76,159.92,49.07,140.76,0.68,-1,-1,-1
0,16,1138.02,281.43,236.32,499.64,0.62,-1,-1,-1
1,1,386.36,233.91,129.79,292.63,0.91,-1,-1,-1
1,2,160.95,229.31,187.98,468.81,0.88,-1,-1,-1
1,3,924.03,214.18,251.20,580.19,0.87,-1,-1,-1
1,4,541.83,269.20,119.24,250.95,0.85,-1,-1,-1
1,5,309.29,340.34,100.19,231.01,0.85,-1,-1,-1
1,6,540.67,171.84,42.36,111.89,0.85,-1,-1,-1
1,7,651.19,265.04,112.95,238.95,0.82,-1,-1,-1
1,8,754.84,246.23,107.44,266.80,0.81,-1,-1,-1
1,9,140.56,195.69,126.92,325.29,0.78,-1,-1,-1
1,10,587.31,209.33,101.86,252.70,0.80,-1,-1,-1
1,11,690.80,159.74,66.49,199.33,0.71,-1,-1,-1
1,12,572.19,150.36,44.38,137.60,0.71,-1,-1,-1
1,13,297.86,175.44,55.29,141.30,0.74,-1,-1,-1
1,14,260.97,215.75,105.35,295.12,0.71,-1,-1,-1
1,15,599.93,160.50,48.79,139.97,0.66,-1,-1,-1
1,16,1137.25,284.83,239.94,507.37,0.61,-1,-1,-1
2,1,389.06,234.99,129.06,291.26,0.91,-1,-1,-1
2,2,160.87,231.07,187.11,467.35,0.88,-1,-1,-1
2,3,925.12,215.06,251.63,581.14,0.88,-1,-1,-1
2,4,541.16,269.68,119.77,252.16,0.86,-1,-1,-1
2,5,312.23,338.63,101.06,233.35,0.86,-1,-1,-1
2,6,540.92,171.78,42.40,111.95,0.85,-1,-1,-1
2,7,652.56,265.56,112.92,238.75,0.81,-1,-1,-1
2,8,755.11,246.27,107.46,266.59,0.81,-1,-1,-1
2,9,143.26,194.58,127.21,326.43,0.79,-1,-1,-1
2,10,587.75,209.01,101.95,252.99,0.80,-1,-1,-1
2,11,690.36,160.99,68.36,204.83,0.71,-1,-1,-1
2,12,572.37,150.72,43.85,135.98,0.71,-1,-1,-1
2,13,298.16,175.94,54.72,139.60,0.73,-1,-1,-1
2,14,262.24,214.91,107.16,300.01,0.74,-1,-1,-1
2,15,600.68,161.40,46.88,134.57,0.64,-1,-1,-1
2,16,1135.93,279.63,246.17,520.87,0.63,-1,-1,-1
3,1,393.72,236.46,127.32,287.55,0.90,-1,-1,-1
3,2,160.07,233.13,186.13,465.63,0.88,-1,-1,-1
3,3,925.19,215.52,252.77,583.82,0.87,-1,-1,-1
3,4,542.43,269.58,119.86,252.20,0.86,-1,-1,-1
3,5,315.57,340.08,100.77,232.77,0.87,-1,-1,-1
3,6,540.91,171.84,42.40,111.87,0.85,-1,-1,-1
3,7,648.68,260.99,117.74,248.81,0.80,-1,-1,-1
3,8,753.62,245.45,107.79,266.58,0.82,-1,-1,-1
3,9,148.58,195.98,125.29,321.85,0.77,-1,-1,-1
3,10,587.85,205.66,102.78,255.02,0.79,-1,-1,-1
3,11,690.29,161.93,64.45,192.74,0.68,-1,-1,-1
3,12,572.16,150.74,44.11,136.87,0.72,-1,-1,-1
3,13,298.24,175.91,55.00,139.94,0.73,-1,-1,-1
3,14,266.10,216.67,107.60,300.98,0.75,-1,-1,-1
3,15,600.60,161.26,47.20,135.58,0.65,-1,-1,-1
3,16,1137.07,282.51,245.91,520.68,0.58,-1,-1,-1
4,1,396.98,235.96,125.80,284.62,0.90,-1,-1,-1
4,2,158.68,232.73,186.83,468.12,0.89,-1,-1,-1
4,3,924.59,215.34,254.25,587.26,0.87,-1,-1,-1
4,4,542.09,267.99,120.18,253.08,0.87,-1,-1,-1
4,5,319.14,340.67,99.76,230.41,0.88,-1,-1,-1
4,6,540.71,171.82,42.45,111.94,0.84,-1,-1,-1
4,7,647.08,258.60,119.75,253.34,0.80,-1,-1,-1
4,8,754.19,245.02,108.41,267.29,0.82,-1,-1,-1
4,9,158.03,196.37,117.82,301.24,0.73,-1,-1,-1
4,10,586.53,200.77,104.71,259.83,0.81,-1,-1,-1
4,11,689.94,161.88,62.79,187.50,0.70,-1,-1,-1
4,12,572.02,150.75,44.27,137.54,0.73,-1,-1,-1
4,13,301.69,175.94,51.00,128.68,0.69,-1,-1,-1
4,14,269.10,218.34,106.87,298.62,0.72,-1,-1,-1
4,15,600.80,161.64,46.89,134.87,0.64,-1,-1,-1
4,16,1140.04,273.04,250.77,532.20,0.56,-1,-1,-1
5,1,400.94,235.02,125.92,285.52,0.89,-1,-1,-1
5,2,162.62,231.84,185.87,467.36,0.89,-1,-1,-1
5,3,924.78,214.35,256.03,591.51,0.87,-1,-1,-1
5,4,541.14,267.79,120.14,253.44,0.88,-1,-1,-1
5,5,321.11,342.61,98.20,226.40,0.88,-1,-1,-1
5,6,540.46,171.76,42.39,111.74,0.83,-1,-1,-1
